base,acuracia-teste,precision-covid-teste,recall-covid-teste,f1-covid-teste,precision-non-covid-teste,recall-non-covid-teste,f1-non-covid-teste,conf-matrix-teste,acuracia-val,precision-covid-val,recall-covid-val,f1-covid-val,precision-non-covid-val,recall-non-covid-val,f1-non-covid-val,conf-matrix-val
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9361111111111111,0.935251798561151,0.9027777777777778,0.9187279151943463,0.9366515837104072,0.9583333333333334,0.9473684210526316,"[[207   9]
 [ 14 130]]"
mobilenet_gauss,0.8491048593350383,0.9754098360655737,0.8178694158075601,0.8897196261682243,0.6394557823129252,0.94,0.7611336032388665,"[[ 94   6]
 [ 53 238]]",0.9583333333333334,0.9574468085106383,0.9375,0.9473684210526315,0.958904109589041,0.9722222222222222,0.9655172413793104,"[[210   6]
 [  9 135]]"
mobilenet_gauss,0.8439897698209718,0.9791666666666666,0.8075601374570447,0.8851224105461393,0.6291390728476821,0.95,0.7569721115537849,"[[ 95   5]
 [ 56 235]]",0.9388888888888889,0.9552238805970149,0.8888888888888888,0.9208633093525178,0.9292035398230089,0.9722222222222222,0.9502262443438914,"[[210   6]
 [ 16 128]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9416666666666667,0.948905109489051,0.9027777777777778,0.9252669039145908,0.9372197309417041,0.9675925925925926,0.9521640091116174,"[[209   7]
 [ 14 130]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9555555555555556,0.9507042253521126,0.9375,0.9440559440559442,0.9587155963302753,0.9675925925925926,0.9631336405529954,"[[209   7]
 [  9 135]]"
mobilenet_gauss,0.8542199488491049,0.9795081967213115,0.8213058419243986,0.8934579439252336,0.6462585034013606,0.95,0.7692307692307693,"[[ 95   5]
 [ 52 239]]",0.9305555555555556,0.9219858156028369,0.9027777777777778,0.912280701754386,0.9360730593607306,0.9490740740740741,0.9425287356321839,"[[205  11]
 [ 14 130]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9527777777777777,0.9379310344827586,0.9444444444444444,0.9411764705882353,0.9627906976744186,0.9583333333333334,0.9605568445475637,"[[207   9]
 [  8 136]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9220055710306406,0.9323308270676691,0.8671328671328671,0.8985507246376812,0.915929203539823,0.9583333333333334,0.9366515837104071,"[[207   9]
 [ 19 124]]"
mobilenet_gauss,0.8516624040920716,0.9794238683127572,0.8178694158075601,0.8913857677902621,0.6418918918918919,0.95,0.7661290322580645,"[[ 95   5]
 [ 53 238]]",0.9164345403899722,0.9124087591240876,0.8741258741258742,0.8928571428571428,0.918918918918919,0.9444444444444444,0.9315068493150684,"[[204  12]
 [ 18 125]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.9192200557103064,0.8958333333333334,0.9020979020979021,0.8989547038327526,0.9348837209302325,0.9305555555555556,0.9327146171693735,"[[201  15]
 [ 14 129]]"
mobilenet_gauss,0.8465473145780051,0.979253112033195,0.8109965635738832,0.887218045112782,0.6333333333333333,0.95,0.7599999999999999,"[[ 95   5]
 [ 55 236]]",0.947075208913649,0.9492753623188406,0.916083916083916,0.9323843416370106,0.9457013574660633,0.9675925925925926,0.9565217391304347,"[[209   7]
 [ 12 131]]"
mobilenet_gauss,0.8516624040920716,0.9794238683127572,0.8178694158075601,0.8913857677902621,0.6418918918918919,0.95,0.7661290322580645,"[[ 95   5]
 [ 53 238]]",0.9303621169916435,0.9047619047619048,0.9236111111111112,0.914089347079038,0.9481132075471698,0.9348837209302325,0.9414519906323184,"[[201  14]
 [ 11 133]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9637883008356546,0.9517241379310345,0.9583333333333334,0.9550173010380624,0.9719626168224299,0.9674418604651163,0.9696969696969698,"[[208   7]
 [  6 138]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.9442896935933147,0.9626865671641791,0.8958333333333334,0.9280575539568345,0.9333333333333333,0.9767441860465116,0.9545454545454545,"[[210   5]
 [ 15 129]]"
mobilenet_gauss,0.8414322250639387,0.9790794979079498,0.8041237113402062,0.8830188679245282,0.625,0.95,0.753968253968254,"[[ 95   5]
 [ 57 234]]",0.9498607242339833,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9457013574660633,0.9720930232558139,0.9587155963302751,"[[209   6]
 [ 12 132]]"
mobilenet_gauss,0.8439897698209718,0.9791666666666666,0.8075601374570447,0.8851224105461393,0.6291390728476821,0.95,0.7569721115537849,"[[ 95   5]
 [ 56 235]]",0.9164345403899722,0.9253731343283582,0.8611111111111112,0.8920863309352519,0.9111111111111111,0.9534883720930233,0.9318181818181819,"[[205  10]
 [ 20 124]]"
mobilenet_gauss,0.8491048593350383,0.9793388429752066,0.8144329896907216,0.8893058161350843,0.6375838926174496,0.95,0.7630522088353413,"[[ 95   5]
 [ 54 237]]",0.958217270194986,0.9574468085106383,0.9375,0.9473684210526315,0.9587155963302753,0.9720930232558139,0.9653579676674365,"[[209   6]
 [  9 135]]"
